chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/jvj_nagash_test			
nag_outpost_primary_main	wh3_main_primary_core_generic_major		false
nag_outpost_primary_main	wh3_main_primary_core_special_major_norsca		false
nag_outpost_secondary_main	wh3_main_primary_core_generic_minor		false
nag_outpost_secondary_main	wh3_main_primary_core_special_minor_norsca		false
nag_outpost_primary_main	nag_primary_core_special_major_nagashizzar		true
nag_outpost_special_nagashizzar	nag_primary_core_special_major_nagashizzar		false
nag_outpost_primary_main	nag_primary_core_special_major_mourkain		true
nag_outpost_special_mourkain	nag_primary_core_special_major_mourkain		false
nag_outpost_primary_main	wh3_main_primary_core_special_major_lahmia		true
nag_outpost_special_lahmia	wh3_main_primary_core_special_major_lahmia		false
nag_outpost_primary_main	wh3_main_primary_core_special_major_khemri		true
nag_outpost_special_khemri	wh3_main_primary_core_special_major_khemri		false
nag_outpost_primary_main	wh3_main_primary_core_special_major_the_awakening		true
nag_outpost_special_awakening	wh3_main_primary_core_special_major_the_awakening		false
nag_outpost_primary_main	wh3_main_primary_core_special_major_castle_drakenhof		true
nag_outpost_special_drakenhof	wh3_main_primary_core_special_major_castle_drakenhof		false
nag_outpost_primary_main	nag_primary_core_special_major_quintex		true
nag_outpost_special_quintex	nag_primary_core_special_major_quintex		false
nag_outpost_primary_research	wh3_main_secondary_core_generic_major		false
nag_outpost_primary_arcane	wh3_main_secondary_core_generic_major		false
nag_outpost_primary_support	wh3_main_secondary_core_generic_major		false
nag_outpost_secondary_fields	wh3_main_secondary_core_generic_minor		false
nag_outpost_secondary_corruption	wh3_main_secondary_core_generic_minor		false
nag_outpost_secondary_syphon	wh3_main_secondary_core_generic_minor		false
nag_outpost_secondary_energy	wh3_main_secondary_core_generic_minor		false
nag_settlement_citadel	nag_major_settlements		false
nag_settlement_estate	nag_major_settlements		false
nag_outpost_main_port	wh3_main_port_core_generic		false
nag_outpost_secondary_fields	wh3_main_secondary_core_generic_major		true
nag_outpost_secondary_corruption	wh3_main_secondary_core_generic_major		true
nag_outpost_secondary_syphon	wh3_main_secondary_core_generic_major		true
nag_outpost_secondary_energy	wh3_main_secondary_core_generic_major		true
nag_outpost_primary_nehek	wh3_main_secondary_core_generic_major		false
nag_outpost_primary_nagashizzar	wh3_main_secondary_core_generic_major		false
nag_outpost_primary_coast	wh3_main_secondary_core_generic_major		false
nag_outpost_primary_count	wh3_main_secondary_core_generic_major		false
nag_settlement_necrosphinx	nag_major_settlements		false
nag_settlement_scorpions	nag_major_settlements		false
nag_settlement_warsphinx	nag_major_settlements		false
nag_settlement_defence_major	nag_major_settlements		false
nag_settlement_growth	nag_major_settlements		false
nag_settlement_hierotitan	nag_major_settlements		false
nag_settlement_income	nag_major_settlements		false
nag_settlement_infantry	nag_major_settlements		false
nag_settlement_ushabti	nag_major_settlements		false
nag_settlement_priest	nag_major_settlements		false
nag_settlement_spirit	nag_major_settlements		false
nag_settlement_cavalry	nag_major_settlements		false
nag_settlement_chariots	nag_major_settlements		false
nag_non_unique_settlement_defence_major	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_growth	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_income	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_infantry	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_ushabti	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_priest	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_spirit	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_cavalry	wh3_main_secondary_core_generic_major		false
nag_non_unique_settlement_chariots	wh3_main_secondary_core_generic_major		false
