faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	nag_nagash	nag_nagash_boss
general	nag_nagash	nag_nagash_husk
general	nag_nagash	nag_mortarch_neferata
general	nag_nagash	nag_mortarch_arkhan
general	nag_nagash	nag_mortarch_vlad
general	nag_nagash	nag_mortarch_mannfred
general	nag_nagash	nag_mortarch_luthor
general	nag_nagash	nag_mortarch_krell
general	nag_nagash	nag_traitor_king
champion	nag_nagash	nag_tomb_prince
wizard	nag_nagash	nag_liche_priest_death
wizard	nag_nagash	nag_liche_priest_light
wizard	nag_nagash	nag_liche_priest_nehekhara
wizard	nag_nagash	nag_liche_priest_shadow
engineer	nag_nagash	nag_gunnery_wight
dignitary	nag_nagash	nag_vampire
dignitary	nag_nagash	nag_vampire_shadow
champion	nag_nagash	nag_wight_king
spy	nag_nagash	nag_morghast_archai
